date,city,מחוז,age,דסק,pop,נותרים לחיסון,לא מחוסנים ולא מחלימים,מחלימים,מחלימים שהתחסנו,מחוסנים מלא,מחוסנים מלא שדעך חיסונם,מחוסנים ב3 מנות,בתהליך חיסון,מחוסנים מנה 1 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 1,% מחוסנים מנה 1 מכלל האוכלוסיה,% מחוסנים מנה 1 מהפוטנציאל,מחוסנים מנה 2 מכלל האוכלוסיה,אוכלוסיה פוטנציאלית לחיסון מנה 2,% מחוסנים מנה 2,% מחוסנים מנה 2 ממתחסני מנה 1,מחוסנים מנה 3 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 3,% מחוסנים מנה 3 מהפוטנציאל
25/08/2021,empty,חסר מחוז,00_11,חסר דסק,18898,0,18839,59,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבו גוש,מחוז ירושלים,00_11,דסק ערבי,1887,0,1732,154,0,0,0,0,1,1,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבו סנאן,מחוז צפון,00_11,דסק ערבי,3001,0,2801,200,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבו קורינאת (יישוב),מחוז דרום,00_11,דסק ערבי,712,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבטין,מחוז חיפה,00_11,דסק ערבי,677,0,653,23,0,0,0,0,1,1,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבטליון,מחוז צפון,00_11,דסק כללי,121,0,118,3,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אביאל,מחוז חיפה,00_11,דסק כללי,205,0,200,5,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אביבים,מחוז צפון,00_11,דסק כללי,104,0,82,22,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אביגדור,מחוז אשקלון,00_11,דסק כללי,200,0,195,5,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אביחיל,מחוז מרכז,00_11,דסק כללי,292,0,276,16,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אביטל,מחוז צפון,00_11,דסק כללי,107,0,106,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אביעזר,מחוז ירושלים,00_11,דסק כללי,195,0,183,12,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבירים,מחוז צפון,00_11,דסק כללי,67,0,66,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבן יהודה,מחוז מרכז,00_11,דסק כללי,2773,0,2629,144,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבן מנחם,מחוז צפון,00_11,דסק כללי,60,0,57,3,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבן ספיר,מחוז ירושלים,00_11,דסק כללי,146,0,129,17,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבן שמואל,מחוז אשקלון,00_11,דסק כללי,596,0,548,48,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבני איתן,מחוז צפון,00_11,דסק כללי,275,0,262,13,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבני חפץ,מחוז מרכז,00_11,דסק כללי,794,0,713,81,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבנת,מחוז ירושלים,00_11,דסק כללי,99,0,93,6,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אבשלום,מחוז דרום,00_11,דסק כללי,51,0,50,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אדורה,מחוז דרום,00_11,דסק כללי,182,0,163,19,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אדירים,מחוז צפון,00_11,דסק כללי,50,0,46,4,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אדמית,מחוז צפון,00_11,דסק כללי,46,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אדרת,מחוז ירושלים,00_11,דסק כללי,217,0,193,24,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אודים,מחוז מרכז,00_11,דסק כללי,291,0,273,18,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אודם,מחוז צפון,00_11,דסק כללי,51,0,48,3,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אוהד,מחוז דרום,00_11,דסק כללי,79,0,76,3,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אום אל-פחם,מחוז חיפה,00_11,דסק ערבי,13781,0,12869,911,0,0,0,0,1,1,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אום אל-קוטוף,מחוז חיפה,00_11,דסק ערבי,273,0,259,14,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אום בטין,מחוז דרום,00_11,דסק ערבי,1603,0,1598,5,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אומן,מחוז צפון,00_11,דסק כללי,74,0,53,21,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אומץ,מחוז מרכז,00_11,דסק כללי,186,0,182,4,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אופקים,מחוז דרום,00_11,דסק כללי,8802,0,7797,1003,0,0,0,0,2,2,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אור הגנוז,מחוז צפון,00_11,דסק חרדי,207,0,206,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אור הנר,מחוז אשקלון,00_11,דסק כללי,193,0,190,3,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אור יהודה,מחוז תל אביב,00_11,דסק כללי,7462,0,6578,880,0,0,1,0,3,4,0,0%,0%,1,0,0%,0%,0,0,0%
25/08/2021,אור עקיבא,מחוז חיפה,00_11,דסק כללי,4417,0,4153,262,0,0,0,0,2,2,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אורה,מחוז ירושלים,00_11,דסק כללי,288,0,274,14,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אורות,מחוז אשקלון,00_11,דסק כללי,93,0,86,7,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אורטל,מחוז צפון,00_11,דסק כללי,85,0,82,3,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אורים,מחוז דרום,00_11,דסק כללי,75,0,74,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אורנים,מחוז חיפה,00_11,דסק כללי,18,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אורנית,מחוז מרכז,00_11,דסק כללי,2032,0,1925,106,1,0,0,0,0,1,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אושה,מחוז חיפה,00_11,דסק כללי,120,0,119,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אזור,מחוז תל אביב,00_11,דסק כללי,2782,0,2485,297,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אחווה,מחוז אשקלון,00_11,דסק כללי,0,0,0,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אחוזם,מחוז אשקלון,00_11,דסק כללי,97,0,93,4,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אחוזת ברק,מחוז צפון,00_11,דסק כללי,467,0,445,22,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אחיהוד,מחוז צפון,00_11,דסק כללי,190,0,185,5,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אחיטוב,מחוז מרכז,00_11,דסק כללי,215,0,212,3,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אחיסמך,מחוז מרכז,00_11,דסק כללי,318,0,261,57,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אחיעזר,מחוז מרכז,00_11,דסק כללי,467,0,389,78,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,איבים,מחוז אשקלון,00_11,דסק כללי,84,0,59,25,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אייל,מחוז מרכז,00_11,דסק כללי,139,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,איילת השחר,מחוז צפון,00_11,דסק כללי,215,0,206,9,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אילון,מחוז צפון,00_11,דסק כללי,211,0,191,20,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אילות,מחוז דרום,00_11,דסק כללי,72,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אילניה,מחוז צפון,00_11,דסק כללי,81,0,73,8,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אילת,מחוז דרום,00_11,דסק כללי,9471,0,8935,531,0,0,1,0,4,5,0,0%,0%,1,0,0%,0%,0,0,0%
25/08/2021,אירוס,מחוז מרכז,00_11,דסק כללי,188,0,173,15,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,איתמר,מחוז מרכז,00_11,דסק כללי,463,0,422,41,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,איתן,מחוז אשקלון,00_11,דסק כללי,110,0,92,18,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,איתנים,מחוז ירושלים,00_11,דסק כללי,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אכסאל,מחוז צפון,00_11,דסק ערבי,3588,0,3366,221,0,0,0,0,1,1,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אל סייד,מחוז דרום,00_11,דסק ערבי,2124,0,2119,5,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אל-עזי,מחוז אשקלון,00_11,דסק ערבי,50,0,48,2,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אל-עריאן,מחוז חיפה,00_11,דסק ערבי,38,0,37,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אל-רום,מחוז צפון,00_11,דסק כללי,83,0,81,2,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלומה,מחוז אשקלון,00_11,דסק חרדי,454,0,427,27,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלומות,מחוז צפון,00_11,דסק כללי,128,0,124,4,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלון הגליל,מחוז צפון,00_11,דסק כללי,216,0,210,6,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלון מורה,מחוז מרכז,00_11,דסק כללי,701,0,650,51,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלון שבות,מחוז ירושלים,00_11,דסק כללי,716,0,632,84,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלוני אבא,מחוז צפון,00_11,דסק כללי,183,0,181,2,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלוני הבשן,מחוז צפון,00_11,דסק כללי,135,0,121,14,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלוני יצחק,מחוז חיפה,00_11,דסק כללי,26,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלונים,מחוז צפון,00_11,דסק כללי,126,0,121,5,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלי-עד,מחוז צפון,00_11,דסק כללי,134,0,133,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אליאב,מחוז אשקלון,00_11,דסק כללי,241,0,227,14,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אליכין,מחוז מרכז,00_11,דסק כללי,669,0,615,53,0,0,0,0,1,1,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אליפז,מחוז דרום,00_11,דסק כללי,36,0,0,0,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אליפלט,מחוז צפון,00_11,דסק כללי,152,0,144,8,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אליקים,מחוז צפון,00_11,דסק כללי,221,0,206,15,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלישיב,מחוז מרכז,00_11,דסק כללי,160,0,155,5,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלישמע,מחוז מרכז,00_11,דסק כללי,245,0,232,13,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלמגור,מחוז צפון,00_11,דסק כללי,92,0,91,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלמוג,מחוז ירושלים,00_11,דסק כללי,74,0,73,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלעד,מחוז מרכז,00_11,דסק חרדי,18583,0,16103,2475,0,0,0,0,5,5,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלעזר,מחוז ירושלים,00_11,דסק כללי,709,0,682,27,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלפי מנשה,מחוז מרכז,00_11,דסק כללי,1764,0,1698,66,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
25/08/2021,אלקוש,מחוז צפון,00_11,דסק כללי,29,0,28,1,0,0,0,0,0,0,0,0%,0%,0,0,0%,0%,0,0,0%
